time_s,heading_deg
1621693264.0155628,124.32105280346487
1621693264.197984,125.99824487743871
1621693264.4237902,128.21102542556122
1621693264.6384845,126.02737338510362
1621693264.8448036,124.8409440041532
1621693265.0378,123.81824578980331
1621693265.2572992,127.03621293928123
1621693265.4631655,124.57928760320549
1621693265.6851535,126.6070748126075
1621693265.8768835,124.43898930880364
1621693266.1154845,126.09099998805839
1621693266.296384,125.28120779717437
1621693266.501437,125.43331401028559
1621693266.738621,127.66562119858332
1621693266.9416296,122.0053832080835
1621693267.1762938,124.78913230892209
1621693267.3843954,123.56631873457331
1621693267.564268,127.48785589694727
1621693267.7781956,125.41705527646744
1621693268.00445,121.03826335550282
1621693268.2188272,128.58539819266028
1621693268.4177945,125.59921995897616
1621693268.627215,125.64702074990676
1621693268.8552556,130.49509313639297
1621693269.0375066,126.20945681718607
1621693269.2567391,126.62574097240096
1621693269.4572985,125.26301172959727
1621693269.8621871,126.66563548264217
1621693270.0862586,128.46336635120292
